"Station","Name","Date","Tmax","Tmin"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-01","31","25"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-02","33","14"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-03","14","10"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-04","14","11"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-05","17","13"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-06","21","16"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-07","24","18"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-08","28","19"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-09","19","11"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-10","15","4"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-11","23","-3"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-12","30","-3"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-13","21","18"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-14","35","15"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-15","39","19"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-16","39","33"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-17","44","19"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-18","38","22"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-19","37","30"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-20","32","27"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-21","32","14"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-22","31","7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-23","35","6"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-24","37","19"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-25","54","33"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-26","54","26"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-27","34","27"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-28","33","24"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-29","35","8"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-30","14","-1"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-01-31","11","-6"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-01","24","-2"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-02","29","10"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-03","28","10"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-04","31","11"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-05","29","9"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-06","30","14"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-07","21","7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-08","20","14"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-09","26","16"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-10","29","19"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-11","29","18"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-12","28","18"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-13","29","15"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-14","26","20"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-15","30","26"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-16","37","23"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-17","27","23"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-18","29","24"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-19","32","27"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-20","35","29"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-21","36","28"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-22","34","4"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-23","38","10"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-24","36","29"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-25","33","27"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-26","28","20"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-27","31","24"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-02-28","32","31"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-01","32","31"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-02","35","30"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-03","36","29"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-04","34","22"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-05","35","13"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-06","36","6"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-07","40","13"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-08","49","21"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-09","49","22"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-10","52","23"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-11","54","30"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-12","58","41"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-13","47","40"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-14","45","37"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-15","47","35"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-16","44","27"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-17","54","25"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-18","59","28"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-19","64","29"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-20","64","30"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-21","56","28"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-22","55","32"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-23","45","35"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-24","48","33"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-25","53","27"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-26","57","22"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-27","30","14"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-28","46","18"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-29","47","33"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-30","49","34"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-03-31","38","34"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-04-01","56","32"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-04-02","75","35"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-04-03","83","58"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-04-04","82","43"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-04-05","64","38"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-04-06","77","43"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-04-07","74","47"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-04-08","81","45"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-04-09","82","38"
